source_file,zip_member,staged_file,file_type,status
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq2ql73p-7cf181-2026-06-06T21-22-33-946Z.zip,bg3-study-survey-participant-mq2ql73p-7cf181-2026-06-06T21-22-33-946Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq2ql73p-7cf181-2026-06-06T21-22-33-946Z.zip,bg3-study-log-participant-mq2ql73p-7cf181-2026-06-06T21-22-33-946Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq3eh42s-fb2cf2-2026-06-07T07-22-34-270Z.zip,bg3-study-log-participant-mq3eh42s-fb2cf2-2026-06-07T07-22-34-270Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq3eh42s-fb2cf2-2026-06-07T07-22-34-270Z.zip,bg3-study-survey-participant-mq3eh42s-fb2cf2-2026-06-07T07-22-34-270Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq3o607h-2af78e-2026-06-07T11-40-14-877Z.zip,bg3-study-survey-participant-mq3o607h-2af78e-2026-06-07T11-40-14-877Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq3o607h-2af78e-2026-06-07T11-40-14-877Z.zip,bg3-study-log-participant-mq3o607h-2af78e-2026-06-07T11-40-14-877Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq5aoq7u-493cb0-2026-06-08T22-14-23-540Z.zip,bg3-study-survey-participant-mq5aoq7u-493cb0-2026-06-08T22-14-23-540Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq5aoq7u-493cb0-2026-06-08T22-14-23-540Z.zip,bg3-study-log-participant-mq5aoq7u-493cb0-2026-06-08T22-14-23-540Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq6h4za4-3dd8ed-2026-06-09T11-00-52-013Z.zip,bg3-study-survey-participant-mq6h4za4-3dd8ed-2026-06-09T11-00-52-013Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq6h4za4-3dd8ed-2026-06-09T11-00-52-013Z.zip,bg3-study-log-participant-mq6h4za4-3dd8ed-2026-06-09T11-00-52-013Z.jsonl,,jsonl,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq6wl4tc-aa847e-2026-06-09T19-28-27-905Z.zip,bg3-study-survey-participant-mq6wl4tc-aa847e-2026-06-09T19-28-27-905Z.json,,survey_json,skipped_existing_hash
C:\Users\Hana\Desktop\bg3-vis-prototype\bg3-vis\analysis\data\raw_exports\bg3-study-export-participant-mq6wl4tc-aa847e-2026-06-09T19-28-27-905Z.zip,bg3-study-log-participant-mq6wl4tc-aa847e-2026-06-09T19-28-27-905Z.jsonl,,jsonl,skipped_existing_hash
