group_variable,group,variable,n,missing,mean,sd,median,q1,q3,min,max,mean_ci_low_boot,mean_ci_high_boot,median_ci_low_boot,median_ci_high_boot
bg3_experience_group,high,final_mobility_count,16,0,17.0625,7.911752860986833,16.0,12.75,20.25,7.0,39.0,13.5625,21.1875,12.5,20.0
bg3_experience_group,high,final_long_range_count,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,high,final_area_damage_count,16,0,11.6875,7.989315782134705,9.5,5.75,18.25,0.0,25.0,7.9984375000000005,15.4375,6.0,18.0
bg3_experience_group,high,final_single_target_damage_count,16,0,39.25,7.970779970199486,39.0,34.0,43.25,27.0,57.0,35.5,43.125,34.0,43.5
bg3_experience_group,high,final_concentration_count,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,high,final_role_count,16,0,9.8125,0.5439056290693574,10.0,10.0,10.0,8.0,10.0,9.5,10.0,10.0,10.0
bg3_experience_group,high,final_damage_type_count,16,0,12.3125,2.1203380233664,12.0,11.0,14.0,9.0,15.0,11.3125,13.3125,11.0,14.0
bg3_experience_group,high,final_range_band_count,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,high,final_resource_count,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,high,final_unique_class_count,16,0,3.875,0.3415650255319866,4.0,4.0,4.0,3.0,4.0,3.6875,4.0,4.0,4.0
bg3_experience_group,low,active_duration_min,8,0,77.7790625,48.43342568458631,75.72931666666668,37.02142083333333,118.54399166666666,22.387916666666666,137.52913333333333,46.57836999999999,109.20079854166667,24.36488333333333,130.78951666666666
bg3_experience_group,low,deliberate_planning_event_count,8,0,4152.875,2707.0755141454247,3392.0,2423.25,5930.5,1021.0,8529.0,2456.125,6081.703125,1359.0,7267.0
bg3_experience_group,low,build_edit_count,8,0,450.5,237.23707250644568,442.5,314.25,562.5,62.0,776.0,296.871875,606.2750000000001,309.0,759.0
bg3_experience_group,low,unique_build_states_from_edits,8,0,368.125,156.25385709525017,385.5,305.75,456.0,60.0,565.0,262.721875,463.5,284.0,516.0
bg3_experience_group,low,visual_profile_changing_edit_count,8,0,128.75,103.83881740466809,108.5,61.0,181.5,7.0,304.0,65.496875,201.14062500000006,22.0,246.0
bg3_experience_group,low,saved_build_created_count,8,0,5.5,3.2071349029490928,4.5,3.75,6.5,2.0,12.0,3.625,7.875,3.0,8.0
bg3_experience_group,low,saved_build_loaded_count,8,0,3.875,7.827378689117906,1.0,0.0,3.0,0.0,23.0,0.5,9.625,0.0,3.0
bg3_experience_group,low,party_slot_assigned_count,8,0,3.625,1.0606601717798212,3.0,3.0,4.0,3.0,6.0,3.121875000000001,4.375,3.0,4.0
bg3_experience_group,low,unique_party_snapshots,8,0,391.125,162.45829135064614,406.0,322.25,480.5,76.0,596.0,281.865625,491.25625,305.0,557.0
bg3_experience_group,low,visualization_event_count,8,0,2553.375,2052.3326058414605,1829.5,1429.5,3628.0,342.0,5818.0,1279.7125,4007.875,477.0,5320.0
bg3_experience_group,low,data_circle_focus_select_count,8,0,265.75,275.73162417725786,163.5,126.25,296.25,6.0,805.0,109.621875,463.6593750000001,64.0,573.0
bg3_experience_group,low,data_circle_hover_dwell_count,8,0,61.375,44.387699390065904,45.5,35.75,71.5,19.0,142.0,35.496875,93.875,26.0,118.0
bg3_experience_group,low,data_circle_total_dwell_sec,8,0,247.81025,197.26130206820307,180.0375,136.22625,312.8475,51.479,654.535,138.573896875,394.71612500000003,82.344,394.098
bg3_experience_group,low,unique_focus_keys,8,0,44.125,23.326487090858752,38.0,26.75,54.5,19.0,81.0,30.121875000000003,60.87812500000001,26.0,77.0
bg3_experience_group,low,tooltip_open_count,8,0,662.375,492.52670340949896,589.0,360.0,1130.75,25.0,1313.0,340.75,983.2687500000001,60.0,1133.0
bg3_experience_group,low,highlight_interaction_count,8,0,61.5,73.1515061850599,20.5,8.75,113.25,0.0,191.0,18.746875000000003,111.26875000000007,8.0,138.0
bg3_experience_group,low,damage_preview_update_count,8,0,59.0,60.12605805424847,38.0,20.75,79.0,2.0,185.0,25.0,104.13750000000005,14.0,100.0
bg3_experience_group,low,edits_after_visualization_60s,8,0,238.125,152.5248808742832,205.0,160.5,323.5,9.0,488.0,142.125,342.503125,135.0,394.0
bg3_experience_group,low,party_gap_response_unique_edit_count,8,0,364.0,153.7632688815598,380.0,305.25,449.25,60.0,558.0,259.971875,457.51875000000007,282.0,510.0
bg3_experience_group,low,evaluation_request_count,8,0,7.25,9.617692030835672,4.0,0.0,10.5,0.0,28.0,1.75,14.75,0.0,12.0
bg3_experience_group,low,evaluation_failure_count,8,0,7.25,9.617692030835672,4.0,0.0,10.5,0.0,28.0,1.75,14.75,0.0,12.0
bg3_experience_group,low,friction_event_count,8,0,60.625,29.765452169539486,53.5,35.5,83.5,27.0,105.0,42.125,80.75312500000001,34.0,97.0
bg3_experience_group,low,invalid_selection_count,8,0,60.625,29.765452169539486,53.5,35.5,83.5,27.0,105.0,42.125,80.75312500000001,34.0,97.0
bg3_experience_group,low,final_filled_party_slots,8,0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
bg3_experience_group,low,final_party_gap_count,8,0,1.125,0.3535533905932738,1.0,1.0,1.0,1.0,2.0,1.0,1.375,1.0,1.0
bg3_experience_group,low,final_high_severity_gap_count,8,0,1.125,0.3535533905932738,1.0,1.0,1.0,1.0,2.0,1.0,1.375,1.0,1.0
bg3_experience_group,low,final_medium_severity_gap_count,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,low,final_redundancy_score,8,0,0.9062797119763024,0.09372361806189679,0.945906432748538,0.925923645320197,0.9478359604595245,0.6785714285714286,0.9509803921568628,0.8392282342474425,0.9471348170023197,0.896551724137931,0.949238578680203
bg3_experience_group,low,final_selected_ability_count,8,0,97.0,39.319206502675,115.0,85.0,117.75,19.0,136.0,70.49375,120.0,66.28750000000008,123.0
bg3_experience_group,low,final_damage_ability_count,8,0,39.875,18.93173827955886,45.0,32.5,54.25,5.0,59.0,27.375,51.125,21.0,55.0
bg3_experience_group,low,final_utility_ability_count,8,0,57.125,25.09090615000924,58.0,45.75,69.75,14.0,99.0,41.25,73.625,39.0,72.0
bg3_experience_group,low,final_healing_count,8,0,8.625,7.11010347523659,7.5,3.75,11.0,0.0,21.0,4.25,13.375,3.0,17.0
bg3_experience_group,low,final_control_count,8,0,23.25,15.745747725293056,23.0,14.5,26.0,2.0,56.0,14.125,34.75,13.0,29.0
bg3_experience_group,low,final_support_count,8,0,27.75,12.395275597696775,29.5,20.75,37.75,5.0,40.0,19.5,35.0,20.0,40.0
bg3_experience_group,low,final_mobility_count,8,0,11.75,8.940278039779939,12.0,7.0,15.0,1.0,29.0,6.25,17.75,5.0,15.0
bg3_experience_group,low,final_long_range_count,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,low,final_area_damage_count,8,0,10.0,5.9521904731427595,10.0,6.25,14.0,1.0,18.0,6.125,13.75,4.0,15.5
bg3_experience_group,low,final_single_target_damage_count,8,0,29.875,15.486745484906947,30.0,23.25,39.5,4.0,52.0,20.121875000000003,39.625,15.487500000000004,44.0
bg3_experience_group,low,final_concentration_count,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,low,final_role_count,8,0,9.625,0.5175491695067657,10.0,9.0,10.0,9.0,10.0,9.25,9.875,9.0,10.0
bg3_experience_group,low,final_damage_type_count,8,0,11.0,2.449489742783178,11.5,10.0,12.25,6.0,14.0,9.375,12.5,10.0,13.0
bg3_experience_group,low,final_range_band_count,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,low,final_resource_count,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bg3_experience_group,low,final_unique_class_count,8,0,3.5,1.0690449676496976,4.0,3.75,4.0,1.0,4.0,2.75,4.0,3.0,4.0
bg3_experience_group,moderate,active_duration_min,4,0,55.130945833333335,34.48536257031373,45.203808333333335,38.34861666666667,61.9861375,25.302816666666665,104.81335,30.904712500000002,89.28431666666667,25.302816666666665,104.81335
bg3_experience_group,moderate,deliberate_planning_event_count,4,0,3889.0,1679.8597163652287,3311.0,2851.25,4348.75,2618.0,6316.0,2773.5,5469.25,2618.0,6316.0
bg3_experience_group,moderate,build_edit_count,4,0,360.5,64.13787232725035,344.0,332.75,371.75,302.0,452.0,312.75,424.75,302.0,452.0
bg3_experience_group,moderate,unique_build_states_from_edits,4,0,334.0,56.432850952850735,321.5,306.25,349.25,280.0,413.0,292.0,388.5,280.0,413.0
bg3_experience_group,moderate,visual_profile_changing_edit_count,4,0,89.0,37.69173207305107,80.5,71.75,97.75,53.0,142.0,60.5,126.0,53.0,142.0
bg3_experience_group,moderate,saved_build_created_count,4,0,4.0,0.816496580927726,4.0,3.75,4.25,3.0,5.0,3.25,4.75,3.0,5.0
bg3_experience_group,moderate,saved_build_loaded_count,4,0,1.0,1.1547005383792515,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
bg3_experience_group,moderate,party_slot_assigned_count,4,0,4.25,2.5,3.0,3.0,4.25,3.0,8.0,3.0,6.75,3.0,8.0
bg3_experience_group,moderate,unique_party_snapshots,4,0,356.75,57.66787089301402,336.5,324.25,369.0,313.0,441.0,320.5,412.75,313.0,441.0
bg3_experience_group,moderate,visualization_event_count,4,0,2737.5,1515.1304674295654,2293.5,1795.75,3235.25,1480.0,4883.0,1690.5,4137.5,1480.0,4883.0
