group_variable,group,variable,n,missing,mean,sd,median,q1,q3,min,max,mean_ci_low_boot,mean_ci_high_boot,median_ci_low_boot,median_ci_high_boot
,,survey_exploration_support_score,28,0,4.035714285714286,0.8598941733829749,4.0,3.5,4.625,2.0,5.0,3.7142857142857144,4.339285714285714,3.75,4.5
,,survey_decision_reasoning_score,28,0,4.071428571428571,0.6109908491575485,4.0,3.6666666666666665,4.666666666666667,3.0,5.0,3.8333333333333344,4.2976190476190474,3.6666666666666665,4.333333333333333
,,survey_visualization_interpretation_score,28,0,4.053571428571429,0.6850153514674191,4.25,3.6875,4.5625,2.25,5.0,3.8033482142857142,4.285714285714286,3.75,4.375
,,survey_game_context_fit_score,28,0,4.285714285714286,0.584183054589776,4.5,4.0,4.625,3.0,5.0,4.089285714285714,4.5,4.0,4.5
,,survey_overall_post_score,28,0,4.097402597402597,0.46940595183132794,4.181818181818182,3.727272727272727,4.454545454545454,3.0,4.818181818181818,3.918831168831169,4.266233766233766,3.909090909090909,4.409090909090908
